k,n,t,width,height,time
256,50,64,3840,2160,13.068294
256,50,64,3840,2160,13.157544
16,50,2,1920,1080,4.320243
16,50,2,1920,1080,4.211808
32,50,2,1920,1080,8.945519
32,50,2,1920,1080,8.727451
64,50,2,1920,1080,15.257036
64,50,2,1920,1080,15.366541
128,50,2,1920,1080,27.877159
128,50,2,1920,1080,27.479586
256,50,2,1920,1080,51.048870
256,50,2,1920,1080,50.631014
16,50,4,1920,1080,2.256774
16,50,4,1920,1080,2.303894
32,50,4,1920,1080,4.717395
32,50,4,1920,1080,4.722662
64,50,4,1920,1080,8.112059
64,50,4,1920,1080,8.435015
128,50,4,1920,1080,14.584950
128,50,4,1920,1080,14.568398
256,50,4,1920,1080,27.277616
256,50,4,1920,1080,26.987242
16,50,8,1920,1080,1.201270
16,50,8,1920,1080,1.249548
32,50,8,1920,1080,2.474810
32,50,8,1920,1080,2.429653
64,50,8,1920,1080,4.208731
64,50,8,1920,1080,4.328650
128,50,8,1920,1080,7.632934
128,50,8,1920,1080,7.778435
256,50,8,1920,1080,14.304193
256,50,8,1920,1080,14.348371
16,50,16,1920,1080,0.674780
16,50,16,1920,1080,0.621041
32,50,16,1920,1080,1.240623
32,50,16,1920,1080,1.311288
64,50,16,1920,1080,2.290104
64,50,16,1920,1080,2.337014
128,50,16,1920,1080,4.024258
128,50,16,1920,1080,3.913647
256,50,16,1920,1080,7.262614
256,50,16,1920,1080,7.316319
16,50,32,1920,1080,0.588488
16,50,32,1920,1080,0.653896
32,50,32,1920,1080,1.306141
32,50,32,1920,1080,1.247676
64,50,32,1920,1080,2.061258
64,50,32,1920,1080,2.098183
128,50,32,1920,1080,3.488031
128,50,32,1920,1080,3.485985
256,50,32,1920,1080,6.517768
256,50,32,1920,1080,6.392544
16,50,64,1920,1080,0.600858
16,50,64,1920,1080,0.607848
32,50,64,1920,1080,0.891528
32,50,64,1920,1080,0.867690
64,50,64,1920,1080,1.349976
64,50,64,1920,1080,1.288668
128,50,64,1920,1080,2.011115
128,50,64,1920,1080,2.009221
256,50,64,1920,1080,3.618135
256,50,64,1920,1080,3.613510
